Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530091203
Firmware Version,2.6
Calibration Date,07/24/2010
Test Name,8530A_2-5_007
Test Start Time,12:43:42 PM
Test Start Date,10/11/2011
Test Length [D:H:M],0:0:58
Test Interval [M:S],0:1
Mass Average [mg/m3],0.012
Mass Minimum [mg/m3],0.001
Mass Maximum [mg/m3],6.15
Mass TWA [mg/m3],0.001
Photometric User Cal,1.00
Flow User Cal,1.00
Errors,
Number of Samples,3489

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
1,0.025,,
2,0.024,,
3,0.024,,
4,0.022,,
5,0.022,,
6,0.021,,
7,0.019,,
8,0.019,,
9,0.019,,
10,0.019,,
11,0.018,,
12,4.89,,
13,6.15,,
14,0.018,,
15,0.018,,
16,0.018,,
17,0.018,,
18,0.017,,
19,0.017,,
20,0.017,,
21,0.017,,
22,0.016,,
23,0.016,,
24,0.015,,
25,0.015,,
26,0.016,,
27,0.015,,
28,0.014,,
29,0.015,,
30,0.015,,
31,0.015,,
32,0.015,,
33,0.015,,
34,0.016,,
35,0.015,,
36,0.014,,
37,0.013,,
38,0.014,,
39,0.015,,
40,0.015,,
41,0.015,,
42,0.014,,
43,0.013,,
44,0.011,,
45,0.012,,
46,0.013,,
47,0.013,,
48,0.013,,
49,0.014,,
50,0.013,,
51,0.013,,
52,0.012,,
53,0.012,,
54,0.013,,
55,0.013,,
56,0.012,,
57,0.013,,
58,0.012,,
59,0.012,,
60,0.014,,
61,0.013,,
62,0.012,,
63,0.013,,
64,0.013,,
65,0.013,,
66,0.013,,
67,0.014,,
68,0.013,,
69,0.013,,
70,0.013,,
71,0.013,,
72,0.015,,
73,0.014,,
74,0.013,,
75,0.013,,
76,0.013,,
77,0.014,,
78,0.013,,
79,0.014,,
80,0.014,,
81,0.014,,
82,0.014,,
83,0.014,,
84,0.014,,
85,0.012,,
86,0.012,,
87,0.014,,
88,0.013,,
89,0.013,,
90,0.014,,
91,0.013,,
92,0.013,,
93,0.013,,
94,0.013,,
95,0.013,,
96,0.013,,
97,0.013,,
98,0.013,,
99,0.012,,
100,0.012,,
101,0.013,,
102,0.012,,
103,0.012,,
104,0.012,,
105,0.011,,
106,0.012,,
107,0.012,,
108,0.013,,
109,0.013,,
110,0.013,,
111,0.014,,
112,0.014,,
113,0.013,,
114,0.013,,
115,0.016,,
116,0.016,,
117,0.012,,
118,0.014,,
119,0.014,,
120,0.014,,
121,0.013,,
122,0.012,,
123,0.013,,
124,0.014,,
125,0.012,,
