Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530091203
Firmware Version,2.6
Calibration Date,07/24/2010
Test Name,8530A_2-5_005
Test Start Time,09:20:04 AM
Test Start Date,09/29/2011
Test Length [D:H:M],0:0:50
Test Interval [M:S],0:1
Mass Average [mg/m3],0.009
Mass Minimum [mg/m3],0.005
Mass Maximum [mg/m3],0.154
Mass TWA [mg/m3],0.001
Photometric User Cal,1.00
Flow User Cal,1.00
Errors,
Number of Samples,3008

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
1,0.014,,
2,0.012,,
3,0.010,,
4,0.010,,
5,0.011,,
6,0.013,,
7,0.012,,
8,0.012,,
9,0.013,,
10,0.013,,
11,0.011,,
12,0.013,,
13,0.012,,
14,0.012,,
15,0.012,,
16,0.014,,
17,0.015,,
18,0.014,,
19,0.010,,
20,0.011,,
21,0.011,,
22,0.010,,
23,0.010,,
24,0.010,,
25,0.011,,
26,0.011,,
27,0.012,,
28,0.013,,
29,0.011,,
30,0.011,,
31,0.011,,
32,0.012,,
33,0.012,,
34,0.011,,
35,0.011,,
36,0.011,,
37,0.010,,
38,0.010,,
39,0.010,,
40,0.010,,
41,0.009,,
42,0.009,,
43,0.011,,
44,0.011,,
45,0.009,,
46,0.011,,
47,0.011,,
48,0.012,,
49,0.011,,
50,0.011,,
51,0.011,,
52,0.011,,
53,0.011,,
54,0.011,,
55,0.010,,
56,0.011,,
57,0.011,,
58,0.009,,
59,0.009,,
60,0.009,,
61,0.010,,
62,0.010,,
63,0.014,,
64,0.015,,
65,0.011,,
66,0.009,,
67,0.010,,
68,0.010,,
69,0.010,,
70,0.009,,
71,0.010,,
72,0.011,,
73,0.012,,
74,0.011,,
75,0.010,,
76,0.010,,
77,0.010,,
78,0.010,,
79,0.010,,
80,0.010,,
81,0.009,,
82,0.010,,
83,0.010,,
84,0.011,,
85,0.011,,
86,0.009,,
87,0.011,,
88,0.011,,
89,0.012,,
90,0.013,,
91,0.011,,
92,0.011,,
93,0.011,,
94,0.010,,
95,0.011,,
96,0.011,,
97,0.010,,
98,0.010,,
99,0.010,,
100,0.009,,
101,0.010,,
102,0.010,,
103,0.010,,
104,0.011,,
105,0.010,,
106,0.010,,
107,0.010,,
108,0.011,,
109,0.012,,
110,0.011,,
111,0.010,,
112,0.010,,
113,0.010,,
114,0.010,,
115,0.011,,
116,0.011,,
117,0.011,,
118,0.010,,
119,0.010,,
120,0.011,,
121,0.010,,
122,0.010,,
123,0.011,,
124,0.011,,
125,0.012,,
126,0.014,,
127,0.013,,
128,0.011,,
129,0.011,,
130,0.011,,
131,0.011,,
132,0.012,,
133,0.012,,
134,0.011,,
135,0.011,,
136,0.011,,
137,0.010,,
138,0.011,,
139,0.011,,
140,0.011,,
141,0.011,,
142,0.011,,
143,0.011,,
144,0.011,,
145,0.009,,
146,0.008,,
147,0.008,,
148,0.008,,
149,0.008,,
150,0.009,,
151,0.009,,
152,0.009,,
153,0.008,,
154,0.008,,
155,0.008,,
156,0.008,,
157,0.008,,
158,0.009,,
159,0.009,,
160,0.009,,
161,0.009,,
162,0.007,,
163,0.008,,
164,0.008,,
165,0.008,,
166,0.008,,
167,0.008,,
168,0.008,,
169,0.008,,
170,0.007,,
171,0.007,,
172,0.007,,
173,0.008,,
174,0.009,,
175,0.008,,
176,0.008,,
177,0.009,,
178,0.009,,
179,0.008,,
180,0.008,,
181,0.008,,
182,0.007,,
183,0.008,,
184,0.008,,
185,0.008,,
186,0.008,,
187,0.007,,
188,0.008,,
189,0.008,,
190,0.008,,
191,0.008,,
192,0.008,,
193,0.009,,
194,0.011,,
195,0.010,,
196,0.010,,
197,0.011,,
198,0.010,,
199,0.010,,
200,0.011,,
201,0.010,,
202,0.010,,
203,0.011,,
204,0.011,,
205,0.011,,
206,0.010,,
207,0.010,,
208,0.010,,
209,0.010,,
210,0.012,,
211,0.012,,
212,0.012,,
213,0.011,,
214,0.011,,
215,0.011,,
216,0.012,,
217,0.011,,
218,0.010,,
219,0.011,,
220,0.011,,
221,0.011,,
222,0.011,,
223,0.010,,
224,0.010,,
225,0.010,,
226,0.011,,
227,0.013,,
228,0.012,,
229,0.011,,
230,0.012,,
231,0.011,,
232,0.011,,
233,0.010,,
234,0.010,,
235,0.011,,
236,0.010,,
237,0.010,,
238,0.011,,
239,0.011,,
240,0.009,,
241,0.010,,
242,0.011,,
243,0.010,,
244,0.011,,
245,0.012,,
246,0.010,,
247,0.010,,
248,0.009,,
249,0.009,,
250,0.011,,
251,0.013,,
252,0.011,,
253,0.009,,
254,0.011,,
255,0.010,,
256,0.010,,
257,0.010,,
258,0.010,,
259,0.010,,
260,0.010,,
261,0.010,,
262,0.010,,
263,0.011,,
264,0.012,,
265,0.011,,
266,0.011,,
267,0.011,,
268,0.011,,
269,0.011,,
270,0.011,,
271,0.010,,
272,0.010,,
273,0.010,,
274,0.010,,
275,0.010,,
276,0.010,,
277,0.011,,
278,0.010,,
279,0.012,,
280,0.012,,
281,0.010,,
282,0.010,,
283,0.011,,
284,0.012,,
285,0.011,,
286,0.011,,
287,0.010,,
288,0.009,,
289,0.009,,
290,0.010,,
291,0.010,,
292,0.009,,
293,0.009,,
294,0.010,,
295,0.010,,
296,0.011,,
297,0.011,,
298,0.011,,
299,0.010,,
300,0.010,,
301,0.010,,
302,0.009,,
303,0.010,,
304,0.010,,
305,0.011,,
306,0.011,,
307,0.010,,
308,0.010,,
309,0.010,,
310,0.011,,
311,0.012,,
312,0.014,,
313,0.012,,
314,0.010,,
315,0.010,,
316,0.011,,
317,0.011,,
318,0.012,,
319,0.011,,
320,0.011,,
321,0.010,,
322,0.010,,
323,0.011,,
324,0.011,,
325,0.011,,
326,0.010,,
327,0.009,,
328,0.010,,
329,0.010,,
330,0.010,,
331,0.010,,
332,0.010,,
333,0.009,,
334,0.010,,
335,0.010,,
336,0.010,,
337,0.010,,
338,0.011,,
339,0.012,,
340,0.012,,
341,0.012,,
342,0.011,,
343,0.011,,
344,0.011,,
345,0.010,,
346,0.010,,
347,0.010,,
348,0.012,,
349,0.011,,
350,0.010,,
351,0.011,,
352,0.011,,
353,0.011,,
354,0.011,,
355,0.011,,
356,0.011,,
357,0.010,,
358,0.010,,
359,0.010,,
360,0.011,,
361,0.011,,
362,0.009,,
363,0.010,,
364,0.011,,
365,0.011,,
366,0.011,,
367,0.012,,
368,0.011,,
369,0.012,,
370,0.011,,
371,0.011,,
372,0.010,,
373,0.009,,
374,0.011,,
375,0.012,,
376,0.011,,
377,0.010,,
378,0.011,,
379,0.010,,
380,0.011,,
381,0.010,,
382,0.010,,
383,0.010,,
384,0.011,,
385,0.011,,
386,0.010,,
387,0.010,,
388,0.011,,
389,0.010,,
390,0.010,,
391,0.011,,
392,0.011,,
393,0.011,,
394,0.010,,
395,0.011,,
396,0.011,,
397,0.011,,
398,0.011,,
399,0.010,,
400,0.011,,
401,0.013,,
402,0.012,,
403,0.011,,
404,0.010,,
405,0.010,,
406,0.009,,
407,0.010,,
408,0.011,,
409,0.010,,
410,0.010,,
411,0.012,,
412,0.011,,
413,0.010,,
414,0.011,,
415,0.011,,
416,0.009,,
417,0.011,,
418,0.010,,
419,0.010,,
420,0.010,,
421,0.010,,
422,0.011,,
423,0.011,,
424,0.011,,
425,0.011,,
426,0.011,,
427,0.011,,
428,0.011,,
429,0.011,,
430,0.011,,
431,0.011,,
432,0.010,,
433,0.010,,
434,0.011,,
435,0.013,,
436,0.011,,
437,0.011,,
438,0.012,,
439,0.011,,
440,0.011,,
441,0.011,,
442,0.010,,
443,0.010,,
444,0.010,,
445,0.010,,
446,0.009,,
447,0.010,,
448,0.010,,
449,0.011,,
450,0.010,,
451,0.009,,
452,0.009,,
453,0.011,,
454,0.010,,
455,0.010,,
456,0.011,,
457,0.010,,
458,0.010,,
459,0.011,,
460,0.011,,
461,0.012,,
462,0.010,,
463,0.010,,
464,0.011,,
465,0.011,,
466,0.011,,
467,0.010,,
468,0.011,,
469,0.011,,
470,0.010,,
471,0.010,,
472,0.011,,
473,0.011,,
474,0.011,,
475,0.011,,
476,0.012,,
477,0.011,,
478,0.011,,
479,0.010,,
480,0.011,,
481,0.011,,
482,0.011,,
483,0.010,,
484,0.010,,
485,0.011,,
486,0.010,,
487,0.009,,
488,0.010,,
489,0.010,,
490,0.011,,
491,0.010,,
492,0.010,,
493,0.011,,
494,0.011,,
495,0.011,,
496,0.011,,
497,0.012,,
498,0.011,,
499,0.010,,
500,0.009,,
501,0.010,,
502,0.010,,
503,0.010,,
504,0.011,,
505,0.011,,
506,0.011,,
507,0.010,,
508,0.010,,
509,0.010,,
510,0.010,,
511,0.010,,
512,0.010,,
513,0.009,,
514,0.011,,
515,0.012,,
516,0.011,,
517,0.011,,
518,0.010,,
519,0.010,,
520,0.011,,
521,0.011,,
522,0.010,,
523,0.009,,
524,0.010,,
525,0.010,,
526,0.011,,
527,0.011,,
528,0.012,,
529,0.011,,
530,0.012,,
531,0.012,,
532,0.010,,
533,0.010,,
534,0.012,,
535,0.010,,
536,0.009,,
537,0.010,,
538,0.009,,
539,0.010,,
540,0.011,,
541,0.010,,
542,0.010,,
543,0.010,,
544,0.011,,
545,0.011,,
546,0.011,,
547,0.010,,
548,0.010,,
549,0.011,,
550,0.010,,
551,0.010,,
552,0.012,,
553,0.013,,
554,0.011,,
555,0.011,,
556,0.012,,
557,0.012,,
558,0.011,,
559,0.011,,
560,0.011,,
561,0.012,,
562,0.011,,
563,0.010,,
564,0.011,,
565,0.011,,
566,0.010,,
567,0.010,,
568,0.011,,
569,0.011,,
570,0.010,,
571,0.011,,
572,0.010,,
573,0.010,,
574,0.010,,
575,0.012,,
576,0.013,,
577,0.013,,
578,0.012,,
579,0.010,,
580,0.009,,
581,0.011,,
582,0.011,,
583,0.010,,
584,0.011,,
585,0.011,,
586,0.011,,
587,0.010,,
588,0.010,,
589,0.011,,
590,0.010,,
591,0.010,,
592,0.010,,
593,0.010,,
594,0.010,,
595,0.010,,
596,0.010,,
597,0.010,,
598,0.011,,
599,0.010,,
600,0.010,,
601,0.009,,
602,0.010,,
603,0.010,,
604,0.010,,
605,0.010,,
606,0.011,,
607,0.010,,
608,0.011,,
609,0.012,,
610,0.010,,
611,0.010,,
612,0.010,,
613,0.011,,
614,0.010,,
615,0.011,,
616,0.010,,
617,0.009,,
618,0.010,,
619,0.011,,
620,0.010,,
621,0.011,,
622,0.011,,
623,0.011,,
624,0.011,,
625,0.011,,
626,0.011,,
627,0.010,,
628,0.011,,
629,0.011,,
630,0.010,,
631,0.010,,
632,0.011,,
633,0.011,,
634,0.010,,
635,0.010,,
636,0.011,,
637,0.011,,
638,0.010,,
639,0.010,,
640,0.010,,
641,0.010,,
642,0.011,,
643,0.010,,
644,0.011,,
645,0.012,,
646,0.011,,
647,0.010,,
648,0.011,,
649,0.010,,
650,0.010,,
651,0.010,,
652,0.010,,
653,0.010,,
654,0.010,,
655,0.011,,
656,0.010,,
657,0.011,,
658,0.011,,
659,0.011,,
660,0.012,,
661,0.012,,
662,0.010,,
663,0.010,,
664,0.011,,
665,0.011,,
666,0.012,,
667,0.012,,
668,0.012,,
669,0.012,,
670,0.011,,
671,0.011,,
672,0.011,,
673,0.012,,
674,0.010,,
675,0.009,,
676,0.011,,
677,0.011,,
678,0.010,,
679,0.010,,
680,0.010,,
681,0.011,,
682,0.011,,
683,0.011,,
