DATE,START_HOUR,W_ERRORS,W_N,W_AVG,W_MED,W_MIN,W_MAX,W_RANGE,W_STDEV,B_HOUR,B_24CHANGE,
06/21/2011,24,,3580,0.0198816,0.02,0.012,0.060,0.048,0.00254357,
06/22/2011,13,,3580,0.0192332,0.018,0.015,0.247,0.232,0.00769256,
06/22/2012,11,,3405,0.00443583,0.004,0.002,0.098,0.096,0.00433634,
06/23/2011,14,,3474,0.0144159,0.013,0.007,0.135,0.128,0.00583712,
06/23/2011,14,,2805,0.0175561,0.017,0.012,0.115,0.103,0.00355082,
06/24/2011,11,,3580,0.0195989,0.019,0.014,0.142,0.128,0.00502207,
06/25/2012,14,,3580,0.00494497,0.005,0.002,0.043,0.041,0.00192703,
06/26/2012,14,,3550,0.0048662,0.005,0.002,0.031,0.029,0.00169568,
06/27/2012,10,,3348,0.0141249,0.014,0.010,0.060,0.05,0.00266285,
06/28/2012,24,,3244,0.0105885,0.01,0.007,0.051,0.044,0.0021029,
06/29/2011,13,,3495,0.00404378,0.003,0.001,0.047,0.046,0.00283975,
06/29/2012,13,,3580,0.0888913,0.008,0.006,17.5,17.494,0.716493,
06/30/2011,13,,3081,0.018508,0.018,0.014,0.099,0.085,0.00279704,
07/05/2011,24,,3529,0.0208773,0.020,0.016,0.087,0.071,0.00393111,
07/06/2011,14,,1679,0.012028,0.011,0.005,0.221,0.216,0.00587652,
07/06/2011,16,,3243,0.0153451,0.014,0.012,0.191,0.179,0.00558037,
07/07/2011,13,,3580,0.014924,0.014,0.009,0.191,0.182,0.00806609,
07/07/2011,13,,3580,0.0286369,0.027,0.024,1.65,1.626,0.0339485,
07/07/2011,13,,3580,0.0138229,0.013,0.000,0.047,0.047,0.00420646,
07/03/2010,16,,2089,0.0292628,0.028,0.020,0.111,0.091,0.00451447,
07/05/2010,14,,1378,0.0365646,0.016,0.011,4.55,4.539,0.183082,
06/29/2010,16,,3580,0.0227042,0.022,0.016,0.219,0.203,0.00554443,
06/16/2010,19,,3580,0.0550584,0.027,0.012,27.9,27.888,0.524222,
07/11/2011,13,,3580,0.00916006,0.008,0.000,0.441,0.441,0.010761,
07/11/2011,13,,3580,0.00958408,0.008,0.000,0.095,0.095,0.00486073,
07/11/2011,13,,3580,0.00589944,0.005,0.003,0.103,0.1,0.00302779,
07/12/2011,11,,3498,0.0128511,0.012,0.009,0.071,0.062,0.00341269,
07/12/2011,13,,3580,0.0175047,0.017,0.000,0.165,0.165,0.00571348,
07/12/2011,11,,2906,0.012277,0.012,0.009,0.046,0.037,0.00209003,
07/12/2011,13,,3580,0.0153888,0.015,0.010,0.040,0.03,0.00284314,
07/12/2011,13,,3580,0.0126408,0.012,0.008,0.059,0.051,0.00302513,
07/12/2012,15,,849,0.0268822,0.026,0.021,0.107,0.086,0.00437901,
07/12/2012,15,,991,0.0225701,0.022,0.008,0.048,0.04,0.00247549,
07/13/2011,13,,3580,0.0143212,0.013,0.008,0.434,0.426,0.0149951,
07/13/2011,13,,3580,0.0152877,0.015,0.007,0.415,0.408,0.0128383,
