Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530094612
Firmware Version,2.4
Calibration Date,11/12/2009
Test Name,8530B_2-5_002
Test Start Time,10:05:25 AM
Test Start Date,11/16/2010
Test Length [D:H:M],0:8:10
Test Interval [M:S],0:1
Mass Average [mg/m3],0.018
Mass Minimum [mg/m3],0.007
Mass Maximum [mg/m3],0.634
Mass TWA [mg/m3],0.017
Photometric User Cal,1.00
Flow User Cal,1.00
Errors,
Number of Samples,29441

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
1,0.013,,
2,0.013,,
3,0.013,,
4,0.015,,
5,0.016,,
6,0.014,,
7,0.014,,
8,0.014,,
9,0.017,,
10,0.016,,
11,0.014,,
12,0.014,,
13,0.015,,
14,0.017,,
15,0.013,,
16,0.013,,
17,0.015,,
18,0.013,,
19,0.013,,
20,0.013,,
21,0.015,,
22,0.015,,
23,0.014,,
24,0.014,,
25,0.014,,
26,0.013,,
27,0.012,,
28,0.010,,
29,0.011,,
30,0.011,,
31,0.011,,
32,0.012,,
33,0.013,,
34,0.011,,
35,0.012,,
36,0.012,,
37,0.012,,
38,0.012,,
39,0.012,,
40,0.013,,
41,0.013,,
42,0.012,,
43,0.012,,
44,0.014,,
45,0.015,,
46,0.013,,
47,0.012,,
48,0.013,,
49,0.013,,
50,0.011,,
51,0.012,,
52,0.013,,
53,0.013,,
54,0.012,,
55,0.014,,
56,0.037,,
57,0.053,,
58,0.013,,
59,0.014,,
60,0.012,,
61,0.012,,
62,0.012,,
63,0.012,,
64,0.010,,
65,0.010,,
66,0.010,,
67,0.011,,
68,0.013,,
69,0.013,,
70,0.013,,
71,0.012,,
72,0.012,,
73,0.011,,
74,0.011,,
75,0.013,,
76,0.012,,
77,0.011,,
78,0.011,,
79,0.011,,
80,0.012,,
81,0.011,,
82,0.011,,
83,0.012,,
84,0.010,,
85,0.011,,
86,0.011,,
87,0.012,,
88,0.011,,
89,0.011,,
90,0.012,,
91,0.011,,
92,0.011,,
93,0.011,,
94,0.013,,
95,0.012,,
96,0.013,,
97,0.019,,
98,0.018,,
99,0.015,,
100,0.015,,
101,0.017,,
102,0.014,,
103,0.010,,
104,0.011,,
105,0.013,,
106,0.014,,
107,0.012,,
108,0.012,,
109,0.014,,
110,0.014,,
111,0.015,,
112,0.016,,
113,0.017,,
114,0.017,,
115,0.017,,
116,0.015,,
117,0.011,,
118,0.011,,
119,0.011,,
120,0.011,,
121,0.011,,
122,0.014,,
123,0.014,,
124,0.011,,
125,0.013,,
126,0.020,,
127,0.013,,
128,0.012,,
129,0.014,,
130,0.014,,
131,0.011,,
132,0.013,,
133,0.012,,
134,0.014,,
135,0.012,,
136,0.013,,
137,0.013,,
138,0.013,,
139,0.015,,
140,0.016,,
141,0.015,,
142,0.014,,
143,0.013,,
144,0.012,,
145,0.013,,
146,0.014,,
147,0.015,,
148,0.015,,
149,0.013,,
150,0.014,,
151,0.015,,
152,0.014,,
153,0.014,,
154,0.013,,
155,0.014,,
156,0.014,,
157,0.014,,
158,0.015,,
159,0.015,,
160,0.014,,
161,0.014,,
162,0.014,,
163,0.013,,
164,0.015,,
165,0.015,,
166,0.014,,
167,0.014,,
168,0.013,,
169,0.014,,
170,0.014,,
171,0.014,,
172,0.013,,
173,0.014,,
174,0.014,,
175,0.014,,
176,0.014,,
